Filepath,Id,Ligand_state,SMILES,Error
PDB_URV_DATABASE/Ligand_mol2/7RMT_ligand.mol2,7RMT,invalid,[H]C(=O)c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)c3nc(=O)[n+]([H])c(=O)c3[H])C([H])([H])C2([H])[H])c([H])c1Cl,Can't kekulize mol.  Unkekulized atoms: 2 11 16 17
PDB_URV_DATABASE/Ligand_mol2/7RMZ_ligand.mol2,7RMZ,invalid,[H]c1c([H])c(C(F)(F)F)c(Cl)c([H])c1N1C([H])([H])C([H])([H])N(C(=O)c2nc(=O)[n+]([H])c(=O)c2[H])C([H])([H])C1([H])[H],Can't kekulize mol.  Unkekulized atoms: 1 8 19 20
PDB_URV_DATABASE/Ligand_mol2/7RN4_ligand.mol2,7RN4,invalid,[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N(C(=O)c3c([H])c(=O)[n+]([H])c(=O)[n+]3[H])C([H])([H])C2([H])[H])c([H])c(Cl)c1Cl,Can't kekulize mol.  Unkekulized atoms: 0 9 16 17
PDB_URV_DATABASE/Ligand_mol2/7RNH_ligand.mol2,7RNH,invalid,[H]c1c(Cl)c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)c3c([H])c(=O)[n+]([H])c(=O)[n+]3[H])C([H])([H])C2([H])[H])c1[H],Can't kekulize mol.  Unkekulized atoms: 0 15 16 17
PDB_URV_DATABASE/Ligand_mol2/7RNK_ligand.mol2,7RNK,invalid,[H]OC([H])([H])c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)c3nc(=O)[n+]([H])c(=O)c3[H])C([H])([H])C2([H])[H])c([H])c1Cl,Can't kekulize mol.  Unkekulized atoms: 5 14 17 18
PDB_URV_DATABASE/Ligand_mol2/7S4B_ligand.mol2,7S4B,valid,[H]c1nc([H])c2c([H])c([H])c([H])c([H])c2c1N([H])C(=O)[C@@]([H])(c1c([H])c([H])c([H])c(F)c1[H])C([H])([H])[H],
PDB_URV_DATABASE/Ligand_mol2/7TVX_ligand.mol2,7TVX,valid,[H]c1nc([H])c(-c2nc(N([H])c3c([H])c(N([H])C(=O)c4c([H])c([H])c(C([H])([H])[N+]5([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])c([H])c([H])c3C([H])([H])[H])sc2[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_mol2/7VIC_ligand.mol2,7VIC,valid,[H]O[C@]1([H])[C@@]2(O[H])OC([H])([H])[C@@]3([C@@]1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])O[H])[C@]1([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(O[H])[C@]21C(=O)[C@]3([H])C([H])([H])[H],
PDB_URV_DATABASE/Ligand_mol2/7VLP_ligand.mol2,7VLP,valid,[H]N1C(=O)[C@]([H])(C([H])([H])[C@]([H])(N([H])C(=O)[C@@]2([H])N(C(=O)[C@@]([H])(N([H])C(=O)C(F)(F)F)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]3([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]32[H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_mol2/7VLQ_ligand.mol2,7VLQ,valid,[H]N1C(=O)[C@]([H])(C([H])([H])[C@]([H])(N([H])C(=O)[C@@]2([H])N(C(=O)[C@@]([H])(N([H])C(=O)C(F)(F)F)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]3([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]32[H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_mol2/7VTH_ligand.mol2,7VTH,invalid,[H]c1c([H])c(N([H])c2nc(=O)[n+](C([H])([H])C(=O)N([H])C([H])([H])[H])c(=O)[n+]2C([H])([H])c2c([H])c(F)c(F)c(F)c2[H])c(C([H])([H])[H])c([H])c1OC([H])(F)F,Can't kekulize mol.  Unkekulized atoms: 0 10 13 22
PDB_URV_DATABASE/Ligand_mol2/7VU6_ligand.mol2,7VU6,invalid,[H]C1=NC(=C([H])[n+]2c(=O)[n+]([H])c(N([H])c3c([H])c4c([H])n(C([H])([H])[H])nc4c([H])c3Cl)[n+](C([H])([H])c3c([H])c(F)c(F)c([H])c3F)c2=O)N=[N+]1C([H])([H])[H],Can't kekulize mol.  Unkekulized atoms: 0 10 13 23
PDB_URV_DATABASE/Ligand_mol2/7VVP_ligand.mol2,7VVP,valid,[H]C1=C(C([H])([H])[C@@]([H])(C(=O)C([H])([H])OP(=O)([O-])[O-])N([H])C(=O)[C@@]([H])(N([H])C(=O)c2c([H])c3c(OC([H])([H])[H])c([H])c([H])c([H])c3n2[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_mol2/7VVT_ligand.mol2,7VVT,valid,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)C([H])([H])[C@]2([H])C(=O)N([H])C([H])([H])C([H])([H])N2C(=O)C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_mol2/7X6K_ligand.mol2,7X6K,valid,[H]C(=O)c1c([H])c2c([H])c([H])c([H])c([H])c2n1[H],
PDB_URV_DATABASE/Ligand_mol2/8ACD_ligand.mol2,8ACD,invalid,[H]C1=C([H])C([H])=C(C([H])([H])N([H])C(=O)[C@@]2([H])N(c3c([H])c([H])c(Cl)c(Cl)c3[H])C([H])([H])C([H])([H])N(C(=O)c3c([H])c(=O)[n+]([H])c(=O)[n+]3[H])C2([H])[H])S1,Can't kekulize mol.  Unkekulized atoms: 1 19 20 26
